('27:32', 'https://www.preachub.com/watch.php?vid=dac5e300b', 'Joseph Prince 2015 Blessing, Favor & Power For Living Joseph Prince Rapture')
('28:32', 'https://www.preachub.com/watch.php?vid=b564ed141', 'Joseph Prince  | Sermons New | 2015  Learn To See What God Sees')
('27:32', 'https://www.preachub.com/watch.php?vid=238a07d11', 'Joseph Prince  See Jesus In The Passover And Be Delivered Part 2 - Joseph Prince 2014')
('24:58', 'https://www.preachub.com/watch.php?vid=7fae39aa3', 'Joseph Prince - Hear Jesus Only And Be Uplifted - 11 May 14')
('36:25', 'https://www.preachub.com/watch.php?vid=b45d0718f', 'Joseph Prince - Noah—The Real Story - 13 Apr 14')
('27:32', 'https://www.preachub.com/watch.php?vid=47d099a3e', 'Joseph Prince | Sermons New |  Why Does God Allow Delays Part 1')
('27:32', 'https://www.preachub.com/watch.php?vid=f94a2af9d', 'Joseph Prince 2014  Freed From The Fear Of Death')
('27:32', 'https://www.preachub.com/watch.php?vid=0d766539b', 'Joseph Prince The Cure For Your Lonely Heart Part 1 - Joseph Prince 2014')
('28:29', 'https://www.preachub.com/watch.php?vid=af0373a9d', 'Промедление Джозеф Принс Joseph Prince')
('28:30', 'https://www.preachub.com/watch.php?vid=ff20f4f45', 'Церковь  Джозеф Принс Joseph Prince версия CNL')
('27:32', 'https://www.preachub.com/watch.php?vid=2b44fee61', "Joseph Prince 2014 Becoming A Pillar In God's House")
('27:32', 'https://www.preachub.com/watch.php?vid=bad604c5e', "Joseph Prince Inherit All Of God's PromisesPart 3 - Joseph Prince 2014")
('27:32', 'https://www.preachub.com/watch.php?vid=958b5cc72', 'Joseph Prince 2014 Grace Is Higher Than The Law Part 1')
('27:32', 'https://www.preachub.com/watch.php?vid=d4b2c552c', 'Joseph Prince 2014 Grace Is Higher Than The Law Part 1')
('27:32', 'https://www.preachub.com/watch.php?vid=3be8a3e45', 'Joseph Prince 2014 Grace Is Higher Than The Law Part 2')
('48:21', 'https://www.preachub.com/watch.php?vid=31a715a52', 'Joseph Prince 2014 Learn To See What God Sees')
('48:20', 'https://www.preachub.com/watch.php?vid=c3cb913e5', 'Joseph Prince How To Live Free From The Curse Part 1 - Joseph Prince 2014')
('48:21', 'https://www.preachub.com/watch.php?vid=c1d8b2721', 'Joseph Prince Win The Battle Over Bitterness Part 4 - Joseph Prince 2014')
('48:21', 'https://www.preachub.com/watch.php?vid=f2705298b', "Joseph Prince - Healing Through God's Gift Of Righteousness - Joseph Prince 2014")
('48:21', 'https://www.preachub.com/watch.php?vid=e27a24302', "Joseph Prince Put The 'Amazing' Back Into Grace Part 2 - Joseph Prince 2014")
('48:21', 'https://www.preachub.com/watch.php?vid=8b3a09d76', "Joseph Prince Put The 'Amazing' Back Into Grace Part 3 - Joseph Prince 2014")
('2:31:23', 'https://www.preachub.com/videos.php?vid=ee929b628', 'Joseph Prince - Finding Your Life Partner 1 of 2')
