('36:25', 'https://www.preachub.com/videos.php?vid=81083d3d6', 'Joseph Prince - Noah—The Real Story - 13 Apr 14')
('1:08:40', 'https://www.preachub.com/videos.php?vid=073856be1', 'Are You Hearing The True Gospel? - Joseph Prince')
('1:11:33', 'https://www.preachub.com/videos.php?vid=23bf8fe7f', 'Joseph Prince - Joseph Prince Full Sermons " Healing "')
('27:32', 'https://www.preachub.com/videos.php?vid=17e01b6d5', 'Joseph Prince | How To Pray When You Have No Prayer 1 | Joseph Prince Bible Study(April 2015)')
('27:32', 'https://www.preachub.com/videos.php?vid=b1897fb26', 'Joseph Prince | How To Pray When You Have No Prayer 2 | Joseph Prince Bible Study(April 2015)')
('27:32', 'https://www.preachub.com/videos.php?vid=a89df3ee7', 'Joseph Prince | How To Pray When You Have No Prayer 3 | Joseph Prince Bible Study(April 2015)')
('27:32', 'https://www.preachub.com/videos.php?vid=ee48f17a2', 'Joseph Prince | How To Pray When You Have No Prayer 4 | Joseph Prince Bible Study(April 2015)')
('27:32', 'https://www.preachub.com/videos.php?vid=90f2bc6a9', 'Joseph Prince | The Rapture And End-Time Tribulation - 1-1 | Joseph Prince Bible Study(April 2015)')
('27:32', 'https://www.preachub.com/videos.php?vid=77e635784', 'Joseph Prince | The Rapture And End-Time Tribulation - 1-2 | Joseph Prince Bible Study(April 2015)')
('27:32', 'https://www.preachub.com/videos.php?vid=b491e520d', 'Joseph Prince | The Rapture And End-Time Tribulation - 1-3 | Joseph Prince Bible Study(April 2015)')
('27:32', 'https://www.preachub.com/videos.php?vid=797fdeb92', 'Joseph Prince | The Rapture And End-Time Tribulation - 1-4 | Joseph Prince Bible Study(April 2015)')
('27:32', 'https://www.preachub.com/videos.php?vid=973f7c4ec', 'Joseph Prince | The Rapture And End-Time Tribulation - 2-1 | Joseph Prince Bible Study(April 2015)')
('27:32', 'https://www.preachub.com/videos.php?vid=0304563dd', 'Joseph Prince | The Rapture And End-Time Tribulation - 2-3 | Joseph Prince Bible Study(April 2015)')
('1:00:21', 'https://www.preachub.com/videos.php?vid=d922b78b3', 'Joseph Prince Familiarity Vs Intimacy With God')
('1:04:23', 'https://www.preachub.com/videos.php?vid=bfedce3e0', 'Joseph Prince Keep Your Eyes On Jesus')
('1:26:08', 'https://www.preachub.com/videos.php?vid=e3d15d89b', 'Joseph Prince REST! God Is Working Behind The Scenes')
('1:13:29', 'https://www.preachub.com/videos.php?vid=ab3e5d61c', 'Joseph Prince Secrets For Marriage In Hebrew Letters')
('1:21:46', 'https://www.preachub.com/videos.php?vid=4e5907abc', 'Joseph Prince Sermons - Joseph Prince : How To Love Life&See Good Days [FULL]')
('1:28:45', 'https://www.preachub.com/videos.php?vid=a07494135', "Rest In Jesus' Faith For Miracles - Joseph Prince")
('1:50:07', 'https://www.preachub.com/videos.php?vid=59c171f4b', 'Joseph Prince - Why Does God Allow Delays')
